supplier_id,supplier_code,component_id,performance_date,total_orders,on_time_orders,late_orders,ordered_quantity,received_quantity,defective_quantity,on_time_delivery_rate,fill_rate,defect_rate,average_delay_days,operational_score,risk_level
1,SUP001,5,2025-01-01,15,14,1,4309,4237,37,93.33,98.33,0.87,1.27,93.26,LOW
1,SUP001,1,2025-01-01,16,15,1,2753,2691,9,93.75,97.75,0.33,0.65,95.29,LOW
1,SUP001,4,2025-01-01,17,16,1,579,564,6,94.12,97.41,1.06,1.54,92.56,LOW
1,SUP001,3,2025-01-01,19,18,1,914,904,7,94.74,98.91,0.77,0.52,95.29,LOW
1,SUP001,2,2025-01-01,6,6,0,1438,1424,10,100.0,99.03,0.7,0.0,98.35,LOW
1,SUP001,5,2025-02-01,18,18,0,1890,1871,9,100.0,98.99,0.48,0.0,98.79,LOW
1,SUP001,2,2025-02-01,10,10,0,3286,3198,20,100.0,97.32,0.63,0.0,98.08,LOW
1,SUP001,4,2025-02-01,8,8,0,3524,3480,12,100.0,98.75,0.34,0.0,99.0,LOW
1,SUP001,3,2025-02-01,7,7,0,2436,2375,16,100.0,97.5,0.67,0.0,98.03,LOW
1,SUP001,1,2025-02-01,17,17,0,1212,1197,3,100.0,98.76,0.25,0.0,99.19,LOW
1,SUP001,2,2025-03-01,13,12,1,2657,2655,26,92.31,99.92,0.98,1.26,93.06,LOW
1,SUP001,3,2025-03-01,9,9,0,980,955,2,100.0,97.45,0.21,0.0,98.94,LOW
1,SUP001,1,2025-03-01,7,7,0,4639,4584,35,100.0,98.81,0.76,0.0,98.18,LOW
1,SUP001,5,2025-03-01,16,15,1,3245,3157,36,93.75,97.29,1.14,0.85,93.27,LOW
1,SUP001,4,2025-03-01,8,7,1,3487,3476,35,87.5,99.68,1.01,1.79,90.22,LOW
1,SUP001,2,2025-04-01,7,7,0,2944,2930,21,100.0,99.52,0.72,0.0,98.45,LOW
1,SUP001,4,2025-04-01,20,19,1,2544,2519,14,95.0,99.02,0.56,1.34,94.63,LOW
1,SUP001,1,2025-04-01,17,16,1,4964,4878,32,94.12,98.27,0.66,0.92,94.52,LOW
1,SUP001,3,2025-04-01,12,11,1,4227,4136,37,91.67,97.85,0.89,1.6,91.94,LOW
1,SUP001,5,2025-04-01,10,9,1,2131,2076,5,90.0,97.42,0.24,1.98,91.9,LOW
1,SUP001,4,2025-05-01,19,18,1,1766,1762,8,94.74,99.77,0.45,0.74,95.82,LOW
1,SUP001,1,2025-05-01,19,17,2,1807,1791,10,89.47,99.11,0.56,0.73,93.36,LOW
1,SUP001,5,2025-05-01,15,15,0,1096,1078,12,100.0,98.36,1.11,0.0,97.36,LOW
