part_id,part_name,warehouse,available_stock,safety_stock,reorder_level,inventory_status,stock_ratio
P001,Battery Pack,Chennai,7770,1705,2870,Healthy,2.707317073170732
P001,Battery Pack,Hosur,5691,1080,1788,Healthy,3.1828859060402683
P001,Battery Pack,Coimbatore,966,111,217,Healthy,4.451612903225806
P001,Battery Pack,Chengalpattu,8822,909,2245,Healthy,3.929621380846325
P002,Battery Cells,Chennai,7449,745,1856,Healthy,4.013469827586207
P002,Battery Cells,Hosur,1684,245,496,Healthy,3.3951612903225805
P002,Battery Cells,Coimbatore,9166,1757,2880,Healthy,3.182638888888889
P002,Battery Cells,Chengalpattu,3247,503,983,Healthy,3.3031536113936926
P003,Battery Management System,Chennai,3234,623,1172,Healthy,2.75938566552901
P003,Battery Management System,Hosur,1767,333,514,Healthy,3.437743190661479
P003,Battery Management System,Coimbatore,4390,886,1728,Healthy,2.540509259259259
P003,Battery Management System,Chengalpattu,5893,1428,3520,Healthy,1.6741477272727272
P004,Battery Module,Chennai,8933,1409,2135,Healthy,4.184074941451991
P004,Battery Module,Hosur,7541,1528,2964,Healthy,2.544197031039136
P004,Battery Module,Coimbatore,1275,134,322,Healthy,3.959627329192547
P004,Battery Module,Chengalpattu,2085,415,751,Healthy,2.7762982689747004
P005,Battery Enclosure,Chennai,4343,554,1368,Healthy,3.1747076023391814
P005,Battery Enclosure,Hosur,7373,1234,2338,Healthy,3.1535500427715997
P005,Battery Enclosure,Coimbatore,1495,283,685,Healthy,2.1824817518248176
P005,Battery Enclosure,Chengalpattu,8129,1051,1624,Healthy,5.005541871921182
P006,Busbar,Chennai,6939,1572,3532,Healthy,1.9646092865232163
P006,Busbar,Hosur,1378,309,573,Healthy,2.404886561954625
P006,Busbar,Coimbatore,5359,1023,1816,Healthy,2.9509911894273126
P006,Busbar,Chengalpattu,5776,1272,2002,Healthy,2.885114885114885
P007,Cell Connector,Chennai,8506,1390,2633,Healthy,3.230535510824155
P007,Cell Connector,Hosur,3195,322,745,Healthy,4.2885906040268456
P007,Cell Connector,Coimbatore,7236,1495,3423,Healthy,2.113935144609991
P007,Cell Connector,Chengalpattu,6392,1527,3284,Healthy,1.946406820950061
P008,Battery Sensor,Chennai,3599,825,1751,Healthy,2.0553969160479726
P008,Battery Sensor,Hosur,3604,394,713,Healthy,5.054698457223002
P008,Battery Sensor,Coimbatore,9496,1988,4249,Healthy,2.234878795010591
P008,Battery Sensor,Chengalpattu,8654,1593,2999,Healthy,2.885628542847616
P009,Battery Cooling Plate,Chennai,8610,1782,4028,Healthy,2.1375372393247267
P009,Battery Cooling Plate,Hosur,7885,1067,1873,Healthy,4.209823812066204
P009,Battery Cooling Plate,Coimbatore,7438,1327,2557,Healthy,2.9088775909268674
P009,Battery Cooling Plate,Chengalpattu,8221,1363,2319,Healthy,3.545062526951272
P010,Battery Safety Disconnect,Chennai,1363,266,482,Healthy,2.827800829875519
P010,Battery Safety Disconnect,Hosur,6519,1539,2692,Healthy,2.4216196136701336
P010,Battery Safety Disconnect,Coimbatore,7392,1337,2276,Healthy,3.24780316344464
P010,Battery Safety Disconnect,Chengalpattu,7168,799,1430,Healthy,5.012587412587413
P011,Electric Motor,Chennai,3657,848,1801,Healthy,2.030538589672404
P011,Electric Motor,Hosur,3193,537,922,Healthy,3.463123644251627
P011,Electric Motor,Coimbatore,5950,884,1433,Healthy,4.152128401953942
P011,Electric Motor,Chengalpattu,6092,899,1447,Healthy,4.210089841050449
P012,Motor Controller,Chennai,1806,296,686,Healthy,2.63265306122449
P012,Motor Controller,Hosur,6364,927,1543,Healthy,4.124432922877511
P012,Motor Controller,Coimbatore,6030,980,1687,Healthy,3.5743924125666866
P012,Motor Controller,Chengalpattu,1163,280,510,Healthy,2.280392156862745
P013,Reduction Gearbox,Chennai,1995,409,762,Healthy,2.6181102362204722
P013,Reduction Gearbox,Hosur,7085,1731,3032,Healthy,2.336741424802111
P013,Reduction Gearbox,Coimbatore,8054,1168,2084,Healthy,3.86468330134357
P013,Reduction Gearbox,Chengalpattu,1198,229,458,Healthy,2.6157205240174672
P014,Differential,Chennai,1354,191,459,Healthy,2.9498910675381262
P014,Differential,Hosur,5749,1032,2010,Healthy,2.8601990049751245
P014,Differential,Coimbatore,6035,1140,1802,Healthy,3.349056603773585
P014,Differential,Chengalpattu,4718,643,1480,Healthy,3.187837837837838
P015,Drive Shaft,Chennai,8504,1656,3533,Healthy,2.4070195301443533
P015,Drive Shaft,Hosur,2430,540,1241,Healthy,1.9580983078162773
P015,Drive Shaft,Coimbatore,9839,1733,3805,Healthy,2.5858081471747703
P015,Drive Shaft,Chengalpattu,1159,172,295,Healthy,3.928813559322034
P016,Inverter,Chennai,2486,550,1016,Healthy,2.4468503937007875
P016,Inverter,Hosur,2234,281,615,Healthy,3.632520325203252
P016,Inverter,Coimbatore,6259,1111,2597,Healthy,2.4100885637273777
P016,Inverter,Chengalpattu,2302,347,559,Healthy,4.1180679785330945
P017,DC-DC Converter,Chennai,6034,1397,2455,Healthy,2.4578411405295317
P017,DC-DC Converter,Hosur,6787,1510,3103,Healthy,2.187238156622623
P017,DC-DC Converter,Coimbatore,2549,635,1565,Healthy,1.6287539936102235
P017,DC-DC Converter,Chengalpattu,5048,1186,2529,Healthy,1.996045867931989
P018,Power Distribution Unit,Chennai,7900,1203,2677,Healthy,2.9510646245797534
P018,Power Distribution Unit,Hosur,1654,377,717,Healthy,2.306834030683403
P018,Power Distribution Unit,Coimbatore,2148,266,638,Healthy,3.366771159874608
P018,Power Distribution Unit,Chengalpattu,8945,906,1450,Healthy,6.1689655172413795
P019,High Voltage Contactor,Chennai,598,147,262,Healthy,2.282442748091603
P019,High Voltage Contactor,Hosur,5473,997,2185,Healthy,2.504805491990847
P019,High Voltage Contactor,Coimbatore,1456,194,429,Healthy,3.393939393939394
P019,High Voltage Contactor,Chengalpattu,7444,1295,2174,Healthy,3.4241030358785647
P020,High Voltage Fuse,Chennai,6515,1378,3060,Healthy,2.1290849673202614
P020,High Voltage Fuse,Hosur,5235,969,1544,Healthy,3.3905440414507773
P020,High Voltage Fuse,Coimbatore,8550,1671,2925,Healthy,2.923076923076923
P020,High Voltage Fuse,Chengalpattu,2193,539,1020,Healthy,2.15
P021,On-board Charger,Chennai,6395,1244,2854,Healthy,2.2407147862648915
P021,On-board Charger,Hosur,5393,1061,2301,Healthy,2.3437635810517166
P021,On-board Charger,Coimbatore,6100,788,1751,Healthy,3.4837235865219873
P021,On-board Charger,Chengalpattu,8183,848,1819,Healthy,4.498625618471688
P022,Charging Port,Chennai,8708,2169,4272,Healthy,2.0383895131086143
