transaction_id,transaction_date,part_id,warehouse,transaction_type,quantity,reference_id
TXN000001,2025-04-17,P006,Chengalpattu,ADJUSTMENT,88,ADJ00021
TXN000002,2025-11-27,P039,Hosur,RECEIPT,459,PO00088
TXN000003,2025-05-11,P036,Chengalpattu,RECEIPT,662,PO01333
TXN000004,2026-01-21,P043,Chengalpattu,TRANSFER,192,TR00956
TXN000005,2025-01-22,P028,Chennai,RECEIPT,253,PO00748
TXN000006,2026-05-26,P041,Chennai,ISSUE,682,MO02048
TXN000007,2025-07-09,P043,Chengalpattu,ISSUE,958,MO02735
TXN000008,2025-09-01,P025,Coimbatore,ISSUE,832,MO01529
TXN000009,2025-01-21,P008,Chennai,ISSUE,841,MO02215
TXN000010,2025-01-14,P025,Chengalpattu,TRANSFER,242,TR00777
TXN000011,2025-04-02,P016,Chennai,RECEIPT,367,PO00956
TXN000012,2025-02-04,P038,Chengalpattu,ISSUE,206,MO01956
TXN000013,2026-01-25,P004,Chengalpattu,ISSUE,566,MO01130
TXN000014,2026-02-06,P008,Hosur,RECEIPT,730,PO01580
TXN000015,2025-09-27,P026,Hosur,TRANSFER,863,TR00816
TXN000016,2025-09-09,P012,Chengalpattu,ISSUE,702,MO02344
TXN000017,2025-02-22,P014,Chengalpattu,ISSUE,792,MO02265
TXN000018,2025-02-10,P021,Chengalpattu,ISSUE,157,MO02063
TXN000019,2026-06-05,P008,Chennai,RECEIPT,344,PO01153
TXN000020,2025-05-19,P026,Chengalpattu,RECEIPT,499,PO00593
TXN000021,2026-01-14,P014,Coimbatore,ISSUE,773,MO02279
TXN000022,2025-07-20,P008,Chennai,TRANSFER,840,TR00780
TXN000023,2026-02-11,P020,Chennai,RECEIPT,574,PO01752
TXN000024,2026-07-01,P034,Coimbatore,ISSUE,961,MO02661
TXN000025,2025-01-05,P040,Hosur,TRANSFER,218,TR00503
TXN000026,2026-01-28,P040,Hosur,ISSUE,207,MO01039
TXN000027,2026-07-29,P040,Hosur,ISSUE,864,MO02791
TXN000028,2026-04-30,P027,Chengalpattu,ISSUE,407,MO02279
TXN000029,2025-02-05,P014,Coimbatore,ISSUE,525,MO01184
TXN000030,2026-08-01,P007,Coimbatore,ISSUE,682,MO02605
TXN000031,2025-01-28,P031,Chennai,RECEIPT,620,PO01580
TXN000032,2026-05-21,P043,Hosur,TRANSFER,348,TR00473
TXN000033,2026-01-12,P037,Hosur,RECEIPT,283,PO01982
TXN000034,2025-09-16,P034,Chengalpattu,ISSUE,359,MO00710
TXN000035,2025-08-13,P018,Coimbatore,ISSUE,819,MO01258
TXN000036,2026-01-09,P045,Chengalpattu,TRANSFER,672,TR00608
TXN000037,2026-05-12,P043,Chengalpattu,ISSUE,442,MO00564
TXN000038,2026-01-22,P002,Hosur,ISSUE,113,MO01637
TXN000039,2025-04-23,P033,Chengalpattu,RECEIPT,2,PO00642
TXN000040,2025-08-13,P016,Hosur,RECEIPT,385,PO01427
TXN000041,2026-02-20,P036,Hosur,ISSUE,247,MO00836
TXN000042,2026-02-05,P013,Coimbatore,ISSUE,767,MO00294
TXN000043,2025-07-17,P013,Chennai,ISSUE,982,MO01931
TXN000044,2025-07-20,P019,Chengalpattu,ISSUE,124,MO00187
TXN000045,2026-02-07,P043,Chennai,TRANSFER,346,TR00963
TXN000046,2026-05-04,P012,Coimbatore,RECEIPT,929,PO01960
TXN000047,2026-04-18,P007,Coimbatore,TRANSFER,946,TR00151
TXN000048,2025-09-20,P011,Hosur,ISSUE,764,MO02192
TXN000049,2026-07-26,P017,Chengalpattu,ISSUE,881,MO02050
TXN000050,2026-03-29,P013,Chengalpattu,ADJUSTMENT,59,ADJ00009
TXN000051,2025-07-27,P012,Coimbatore,ISSUE,131,MO00404
TXN000052,2026-08-10,P001,Hosur,ISSUE,625,MO01444
TXN000053,2025-08-15,P014,Chengalpattu,ISSUE,112,MO02558
TXN000054,2025-12-04,P024,Coimbatore,ADJUSTMENT,-47,ADJ00163
