po_id,po_date,supplier_id,part_id,warehouse,quantity_ordered,quantity_received,unit_cost,expected_delivery_date,actual_delivery_date,order_status,quantity_shortage,delivery_delay_days,order_value
PO00001,2025-12-10,S011,P021,Coimbatore,1252,1252,18000.0,2025-12-22,2025-12-22,Delivered,0,0,22536000.0
PO00002,2026-05-12,S011,P023,Chennai,541,378,3500.0,2026-05-24,2026-06-02,Late + Partial,163,9,1893500.0
PO00003,2025-06-10,S002,P005,Chengalpattu,1703,1703,16500.0,2025-06-29,2025-07-01,Delivered,0,2,28099500.0
PO00004,2025-04-02,S015,P029,Chennai,1477,1477,280.0,2025-04-20,2025-04-20,Delivered,0,0,413560.0
PO00005,2025-11-21,S005,P012,Hosur,615,615,14000.0,2025-12-09,2025-12-18,Late,0,9,8610000.0
PO00006,2026-07-19,S009,P016,Chennai,1274,1274,30000.0,2026-08-09,2026-08-18,Late,0,9,38220000.0
PO00007,2026-02-19,S020,P036,Coimbatore,1636,1636,6000.0,2026-03-11,2026-03-19,Late,0,8,9816000.0
PO00008,2025-04-28,S025,P041,Chennai,870,870,55000.0,2025-05-10,2025-05-11,Delivered,0,1,47850000.0
PO00009,2025-01-26,S014,P027,Chengalpattu,903,730,3500.0,2025-02-09,2025-02-08,Partial,173,-1,3160500.0
PO00010,2025-11-22,S017,P032,Chengalpattu,1533,1533,4500.0,2025-12-04,2025-12-04,Delivered,0,0,6898500.0
PO00011,2026-01-26,S008,P020,Coimbatore,1302,1302,1800.0,2026-02-12,2026-02-13,Delivered,0,1,2343600.0
PO00012,2025-05-17,S017,P030,Coimbatore,301,244,7500.0,2025-05-27,2025-05-30,Partial,57,3,2257500.0
PO00013,2026-04-14,S024,P038,Coimbatore,1009,1009,10500.0,2026-05-07,2026-05-06,Delivered,0,-1,10594500.0
PO00014,2025-10-19,S003,P002,Coimbatore,1494,1494,4200.0,2025-11-13,2025-11-15,Delivered,0,2,6274800.0
PO00015,2025-09-30,S020,P035,Chengalpattu,1649,1649,8500.0,2025-10-20,2025-10-20,Delivered,0,0,14016500.0
PO00016,2025-02-23,S016,P028,Coimbatore,1170,1170,8000.0,2025-03-17,2025-03-15,Delivered,0,-2,9360000.0
PO00017,2026-06-08,S002,P006,Hosur,394,394,9000.0,2026-06-26,2026-06-28,Delivered,0,2,3546000.0
PO00018,2025-03-01,S002,P004,Chennai,529,529,19500.0,2025-03-21,2025-03-23,Delivered,0,2,10315500.0
